"r1","r0","rd","v1","v0","vd","mv1","mv0","mvd","iteration","method","sim_id"
0.229896383707002,0.351799812643436,-0.121903428936434,0.000194393482444694,0.000163990880459051,0.000330390752485597,0.000194888337071843,0.00016451127825304,0.000331322384546874,1,"cvq_multiple",1
0.228953325767619,0.353103110907166,-0.124149785139547,0.00019451041424148,0.000161296265201035,0.000327369653936188,0.000194567821871957,0.0001616348870571,0.000329010987250691,2,"cvq_multiple",1
0.229678722519328,0.352521198666304,-0.122842476146976,0.000193827984993947,0.000164922939643788,0.000330815379958263,0.000194063984551547,0.000164922939643788,0.000330816064496362,3,"cvq_multiple",1
0.229122986706114,0.351991626532083,-0.122868639825969,0.000194715331277258,0.000159470069058703,0.000326159148215915,0.000194720222595016,0.000159750515704046,0.000326159148215915,4,"cvq_multiple",1
0.229192924662602,0.353036330078099,-0.123843405415497,0.000193697803030708,0.000165175458097499,0.000331198036704987,0.000193697803030708,0.000165440818468916,0.000332148204659514,5,"cvq_multiple",1
0.242324185238305,0.357476701991091,-0.115152516752786,0.000202147093913592,0.000159255432370327,0.000328263570054603,0.000202147786933502,0.000159255432370327,0.000328264358000152,1,"cvq_multiple",2
0.242297859966995,0.357144246646428,-0.114846386679433,0.00020175130714527,0.000161588699789757,0.000330468404588538,0.00020175130714527,0.000161699226345952,0.000330545721788386,2,"cvq_multiple",2
0.242414201313135,0.357538647698112,-0.115124446384977,0.000201863295190596,0.000163704067338417,0.000332595208538632,0.000201876830499417,0.000163707904609035,0.000332595208538632,3,"cvq_multiple",2
0.241915405123211,0.357961374175745,-0.116045969052535,0.000202842285571165,0.000164507918670903,0.000334597369704688,0.0002029885572787,0.00016474282579748,0.000335446573731511,4,"cvq_multiple",2
0.242294170070079,0.356933537896674,-0.114639367826596,0.000201887381279769,0.000162670395006421,0.000331743790592693,0.000201887394895108,0.000162965422239885,0.000331979091800495,5,"cvq_multiple",2
0.230636527907651,0.354557031827022,-0.123920503919371,0.000196503142422129,0.000243462480096678,0.0004103490326174,0.000196622583673281,0.000243462480096678,0.0004103490326174,1,"singlecrossfit",1
0.231846724107624,0.352794284893652,-0.120947560786028,0.000203554774998222,0.000191701920190122,0.000366749271375697,0.00020597528532749,0.000194809196941228,0.000375587662249789,2,"singlecrossfit",1
0.22683128466252,0.357927625598441,-0.131096340935922,0.00020084419162518,0.000194338867747622,0.000366217877297656,0.000212813304077391,0.000205699770119553,0.000417710514185753,3,"singlecrossfit",1
0.22943743904911,0.355026296912348,-0.125588857863238,0.000192561693107169,0.000154845254945169,0.000318149838997343,0.000193290131668487,0.000155065464665475,0.000320933243879359,4,"singlecrossfit",1
0.230290925171621,0.352873094099937,-0.122582168928317,0.000198062981521347,0.00014808975156376,0.000317274779677499,0.000198062981521347,0.00015092539783246,0.00031906592022578,5,"singlecrossfit",1
0.242116954040439,0.356210857804556,-0.114093903764117,0.000201915621285066,0.000184971889430812,0.00035406520629636,0.000201936034989213,0.000184971889430812,0.00035406520629636,1,"singlecrossfit",2
0.244134321164687,0.35879952740868,-0.114665206243993,0.000207498457964913,0.000243261904874061,0.000416462544565287,0.000211012172935494,0.000249963115193374,0.000416788931088799,2,"singlecrossfit",2
0.239958317013737,0.359504265566004,-0.119545948552266,0.000203941185409292,0.000140408973082816,0.000310836521578937,0.000209238150082268,0.000151255507765979,0.000340561313950927,3,"singlecrossfit",2
0.24247454297792,0.34759432073263,-0.10511977775471,0.000202500343254624,0.000237330629502304,0.000407397209810051,0.000202546444670563,0.000311575340614184,0.000487932147442758,4,"singlecrossfit",2
0.242259830575065,0.355168828190795,-0.11290899761573,0.00020146007323319,0.000158881245467382,0.00032761102966371,0.00020146007323319,0.000159967071183338,0.000329015032244195,5,"singlecrossfit",2
